Name	Reign	Dynasty	Group symbol	Cause of death
Aurelian	270–275	Crisis of the Third Century	ᶜ	Assassinated (Praetorian Guard)
Tacitus	275–276	Crisis of the Third Century	ᶜ	Illness (or murdered)
Florianus	276	Crisis of the Third Century	ᶜ	Assassinated (by his troops)
Probus	276–282	Crisis of the Third Century	ᶜ	Assassinated (by his troops)
Carus	282–283	Crisis of the Third Century	ᶜ	Died in Persia (illness, assassination, or lightning)
Carinus	283–285	Crisis of the Third Century	ᶜ	Killed in battle (likely betrayed)
Numerian	283–284	Crisis of the Third Century	ᶜ	Illness (or assassinated)
Diocletian	284–305	Tetrarchy	ᵀ	Abdicated
Maximian	286–305	Tetrarchy	ᵀ	Abdicated
Galerius	305–311	Tetrarchy	ᵀ	Natural causes
Constantius I (Chlorus)	305–306	Tetrarchy	ᵀ	Natural causes
Severus II	306–307	Tetrarchy	ᵀ	Executed (or forced suicide)
Maxentius	306–312	Tetrarchy	ᵀ	Killed in battle
Maximian	306–308	Tetrarchy	ᵀ	Forced to abdicate (suicide in 310)
Domitius Alexander	308–310	Tetrarchy	ᵀ	Executed
Licinius	308–324	Tetrarchy	ᵀ	Executed
Maximinus II (Daza)	310–313	Tetrarchy	ᵀ	Died after defeat
Valerius Valens	316–317	Tetrarchy	ᵀ	Executed
Martinian	324	Tetrarchy	ᵀ	Executed
Constantine I (the Great)	306–337	Constantinian	ᴷ	Natural causes
Constantine II	337–340	Constantinian	ᴷ	Killed in battle
Constans I	337–350	Constantinian	ᴷ	Assassinated
Constantius II	337–361	Constantinian	ᴷ	Illness (fever)
Magnentius	350–353	Constantinian	ᴷ	Suicide
Vetranio	350	Constantinian	ᴷ	Abdicated
Nepotianus	350	Constantinian	ᴷ	Executed
Julian (the Apostate)	361–363	Constantinian	ᴷ	Killed in battle
Jovian	363–364	Constantinian	ᴷ	Accidental death (fumes or indigestion)
Valentinian I (the Great)	364–375	Valentinianic	ᵛ	Stroke
Valens	364–378	Valentinianic	ᵛ	Killed in battle
Procopius	365–366	Valentinianic	ᵛ	Executed
Gratian	375–383	Valentinianic	ᵛ	Assassinated
Magnus Maximus	383–388	Valentinianic	ᵛ	Executed
Valentinian II	388–392	Valentinianic	ᵛ	Suicide (or murdered)
Eugenius	392–394	Valentinianic	ᵛ	Executed
Theodosius I (the Great)	379–395	Theodosian	Θ	Natural causes
